,S.N.,Symbol,Buyer,Seller,Quantity,Rate,Amount
131,1,HURJA,47,42,20,377.0,7540.0
132,1,KBL,58,58,20,398.0,7960.0
133,1,HDHPC,22,34,1855,301.0,558355.0
134,1,HDHPC,21,34,200,301.0,60200.0
135,1,HDHPC,37,34,1000,302.0,302000.0
136,1,HDHPC,49,34,100,302.0,30200.0
137,1,HDHPC,37,34,500,302.0,151000.0
138,1,HDHPC,47,34,500,303.0,151500.0
139,1,HDHPC,41,34,100,303.0,30300.0
140,1,HDHPC,28,34,100,303.0,30300.0
141,1,HDHPC,41,34,100,304.0,30400.0
142,1,HDHPC,42,34,655,304.0,199120.0
143,1,HDHPC,47,34,500,304.0,152000.0
144,1,HDHPC,1,34,90,304.0,27360.0
145,1,HDHPC,14,34,50,304.0,15200.0
146,1,HDHPC,39,34,1000,305.0,305000.0
147,1,HDHPC,33,34,200,305.0,61000.0
148,1,HDHPC,20,34,200,305.0,61000.0
149,1,HDHPC,49,34,195,305.0,59475.0
150,1,HDHPC,34,34,100,306.0,30600.0
151,1,GBBL,53,38,457,551.0,251807.0
152,1,GBBL,53,38,43,550.0,23650.0
153,1,UPPER,43,29,35,759.0,26565.0
154,1,UNHPL,55,42,100,382.0,38200.0
155,1,AHPC,57,34,500,533.0,266500.0
156,1,AHPC,57,22,456,533.0,243048.0
157,1,NIFRA,48,48,3,525.0,1575.0
158,1,SANIMA,21,8,17,500.0,8500.0
159,1,SRBL,26,4,234,391.0,91494.0
160,1,SRBL,47,4,16,391.0,6256.0
161,1,DHPL,32,36,10,294.0,2940.0
162,1,CGH,6,33,10,1715.0,17150.0
163,1,SBI,26,42,300,437.0,131100.0
164,1,SBI,26,54,10,437.0,4370.0
165,1,SBI,26,26,200,437.0,87400.0
166,1,SBI,26,45,60,437.0,26220.0
167,1,SBI,26,51,50,437.0,21850.0
168,1,SBI,26,16,680,437.0,297160.0
169,1,SBI,26,13,25,437.0,10925.0
170,1,SBI,26,32,490,437.0,214130.0
171,1,SHPC,58,32,39,553.0,21567.0
172,1,SHPC,58,26,64,553.0,35392.0
173,1,LGIL,5,29,100,875.0,87500.0
174,1,BOKL,13,34,50,396.0,19800.0
175,1,PMHPL,22,42,10,317.0,3170.0
176,1,MEN,1,45,10,944.0,9440.0
177,1,UPPER,43,34,30,759.0,22770.0
178,1,UPPER,43,34,10,759.0,7590.0
179,1,CORBL,42,36,300,689.0,206700.0
180,1,NIFRA,45,55,60,533.0,31980.0
181,1,NIFRA,45,46,50,533.0,26650.0
182,1,NIFRA,45,36,60,533.0,31980.0
183,1,RADHI,53,36,20,1081.0,21620.0
184,1,PPCL,38,36,30,393.0,11790.0
185,1,GBIME,58,25,50,457.0,22850.0
186,1,AHPC,59,36,41,532.0,21812.0
187,1,SIFC,29,14,200,500.0,100000.0
188,1,SIFC,47,14,78,500.0,39000.0
189,1,NHPC,47,51,10,305.0,3050.0
190,1,BARUN,20,10,11,587.0,6457.0
191,1,NLG,33,34,300,1315.0,394500.0
192,1,NLG,33,19,50,1314.0,65700.0
193,1,NLG,33,38,100,1314.0,131400.0
194,1,NHPC,46,51,50,305.0,15250.0
195,1,GUFL,57,49,72,1335.0,96120.0
196,1,RLFL,57,48,83,539.0,44737.0
197,1,NCCB,41,49,400,383.0,153200.0
198,1,MLBBL,41,47,5,2342.0,11710.0
199,1,AKPL,22,11,10,498.0,4980.0
200,1,NHPC,26,35,50,304.0,15200.0
201,1,NHPC,52,35,150,304.0,45600.0
202,1,MBL,49,39,95,413.0,39235.0
203,1,NIFRA,43,36,90,533.0,47970.0
204,1,NBB,58,55,29,423.0,12267.0
205,1,NBB,49,55,50,423.0,21150.0
206,1,NBB,58,55,121,423.0,51183.0
207,1,NBB,17,20,200,424.0,84800.0
208,1,KBL,57,58,100,398.0,39800.0
209,1,UPCL,48,14,232,334.0,77488.0
210,1,SHIVM,7,42,50,1579.0,78950.0
211,1,MBL,44,42,150,412.0,61800.0
212,1,PROFL,45,55,30,408.0,12240.0
213,1,PROFL,45,59,100,408.0,40800.0
214,1,PROFL,45,55,45,408.0,18360.0
215,1,CHCL,45,44,37,722.0,26714.0
216,1,KBL,55,58,180,398.0,71640.0
217,1,KBL,55,49,20,398.0,7960.0
218,1,SIFC,47,26,300,500.0,150000.0
219,1,NICL,20,42,20,1170.0,23400.0
220,1,NRN,51,47,10,712.0,7120.0
221,1,BARUN,20,17,35,587.0,20545.0
222,1,LBL,18,36,30,430.0,12900.0
223,1,DDBL,49,38,95,1707.0,162165.0
224,1,RHPC,6,51,28,618.0,17304.0
225,1,UPPER,43,45,40,759.0,30360.0
226,1,ICFC,45,41,10,653.0,6530.0
227,1,SBL,4,50,300,521.0,156300.0
228,1,KMCDB,26,13,10,1363.0,13630.0
229,1,SWBBL,56,43,50,1747.0,87350.0
230,1,SWBBL,14,43,15,1747.0,26205.0
231,1,NFS,47,3,300,447.0,134100.0
232,1,RRHP,14,45,10,423.0,4230.0
233,1,GLICL,4,48,150,825.0,123750.0
234,1,GLICL,4,5,300,825.0,247500.0
235,1,GLICL,4,57,10,825.0,8250.0
236,1,GLICL,4,28,17,825.0,14025.0
237,1,GMFBS,32,46,10,1615.0,16150.0
238,1,NHPC,57,51,100,305.0,30500.0
239,1,SFCL,8,39,25,401.0,10025.0
240,1,AHPC,59,16,50,532.0,26600.0
241,1,AHPC,59,42,173,532.0,92036.0
242,1,JLI,56,45,10,815.0,8150.0
243,1,GHL,41,35,20,334.0,6680.0
244,1,SWBBL,14,35,20,1747.0,34940.0
245,1,PRVU,33,45,100,476.0,47600.0
246,1,EIC,54,48,50,842.0,42100.0
247,1,SHL,58,49,100,288.0,28800.0
248,1,SHL,58,36,100,288.0,28800.0
249,1,NBL,57,29,100,463.0,46300.0
250,1,UPCL,40,46,100,333.0,33300.0
251,1,SBCF,42,14,300,10.19,3057.0
252,1,GLH,17,17,10,402.0,4020.0
253,1,API,32,1,593,450.0,266850.0
254,1,API,38,1,407,450.0,183150.0
255,1,RHPC,6,39,10,618.0,6180.0
256,1,MFIL,26,43,200,1100.0,220000.0
257,1,AIL,25,17,10,885.0,8850.0
258,1,AIL,57,17,200,885.0,177000.0
259,1,AIL,11,17,90,885.0,79650.0
260,1,NIFRA,46,36,100,533.0,53300.0
261,1,SRBL,13,46,100,392.0,39200.0
262,1,SRBL,13,32,100,392.0,39200.0
263,1,NCCB,45,49,40,383.0,15320.0
264,1,NCCB,35,49,521,383.0,199543.0
265,1,SJCL,21,1,40,470.0,18800.0
266,1,NLIC,52,34,50,2087.0,104350.0
267,1,PCBL,59,57,100,487.0,48700.0
268,1,BOKL,53,34,1000,396.0,396000.0
269,1,BOKL,6,4,23,395.0,9085.0
270,1,BOKL,33,4,46,395.0,18170.0
271,1,GFCL,50,33,430,696.0,299280.0
272,1,CZBIL,6,16,100,403.0,40300.0
273,1,HURJA,47,37,20,377.0,7540.0
274,1,LBBL,38,32,90,658.0,59220.0
275,1,LBBL,38,35,10,658.0,6580.0
276,1,CIT,38,52,50,4212.0,210600.0
277,1,API,38,26,660,451.0,297660.0
278,1,GBBL,58,38,37,550.0,20350.0
279,1,GBBL,48,38,100,550.0,55000.0
280,1,GBBL,45,38,100,550.0,55000.0
281,1,GBBL,50,38,150,550.0,82500.0
282,1,GBBL,45,38,300,550.0,165000.0
283,1,GBBL,51,38,500,550.0,275000.0
284,1,GBBL,13,38,270,550.0,148500.0
285,1,NIFRA,45,45,20,532.0,10640.0
286,1,NIFRA,13,45,30,532.0,15960.0
287,1,SHINE,19,52,12,460.0,5520.0
288,1,SHINE,19,43,100,459.0,45900.0
289,1,SHINE,19,34,509,459.0,233631.0
290,1,SHINE,19,28,135,459.0,61965.0
291,1,DHPL,32,59,47,294.0,13818.0
292,1,SHIVM,34,11,50,1579.0,78950.0
293,1,API,38,34,50,450.0,22500.0
294,1,PIC,34,35,10,1304.0,13040.0
295,1,NIFRA,6,34,20,532.0,10640.0
296,1,NIFRA,54,34,40,532.0,21280.0
297,1,NGPL,42,42,390,530.0,206700.0
298,1,NGPL,42,57,12,530.0,6360.0
299,1,NGPL,42,48,98,529.0,51842.0
300,1,SJCL,21,59,40,470.0,18800.0
301,1,GIC,35,29,10,760.0,7600.0
302,1,GIC,35,38,25,760.0,19000.0
303,1,GIC,35,21,10,760.0,7600.0
304,1,GIC,35,51,50,760.0,38000.0
305,1,GIC,35,58,90,760.0,68400.0
306,1,SADBL,4,17,50,435.0,21750.0
307,1,SADBL,58,17,100,435.0,43500.0
308,1,SADBL,58,17,1000,435.0,435000.0
309,1,SADBL,17,17,850,435.0,369750.0
310,1,KKHC,42,39,50,306.0,15300.0
311,1,GLH,17,42,10,402.0,4020.0
312,1,ICFC,47,59,100,653.0,65300.0
313,1,API,38,10,28,450.0,12600.0
314,1,NIL,45,55,200,1688.0,337600.0
315,1,RLFL,53,48,17,539.0,9163.0
316,1,RLFL,53,49,183,539.0,98637.0
317,1,SJCL,21,11,10,470.0,4700.0
318,1,DHPL,56,17,11,293.0,3223.0
319,1,SHINE,57,46,25,458.0,11450.0
320,1,DDBL,16,38,20,1707.0,34140.0
321,1,NMB,45,32,500,461.0,230500.0
322,1,API,53,26,50,451.0,22550.0
323,1,PLI,55,45,10,818.0,8180.0
324,1,HIDCL,20,35,123,425.0,52275.0
325,1,HIDCL,20,38,49,425.0,20825.0
326,1,HIDCL,20,53,25,425.0,10625.0
327,1,HIDCL,20,28,103,425.0,43775.0
328,1,LBL,3,36,500,430.0,215000.0
329,1,NIFRA,43,36,90,533.0,47970.0
330,1,NIFRA,54,36,20,533.0,10660.0
331,1,NIFRA,16,36,400,533.0,213200.0
332,1,MEGA,52,38,10,390.0,3900.0
333,1,CZBIL,44,41,25,402.0,10050.0
334,1,NCCB,35,14,100,383.0,38300.0
335,1,SRBL,47,35,499,391.0,195109.0
336,1,GMFIL,53,57,25,561.0,14025.0
337,1,GMFIL,53,21,100,561.0,56100.0
338,1,GMFIL,53,35,25,561.0,14025.0
339,1,RLI,47,17,60,714.0,42840.0
340,1,MLBSL,57,48,10,5010.0,50100.0
341,1,PROFL,49,55,455,408.0,185640.0
342,1,PROFL,49,19,45,408.0,18360.0
343,1,LBBL,5,8,300,656.0,196800.0
344,1,LBBL,1,8,500,657.0,328500.0
345,1,UNHPL,14,40,100,383.0,38300.0
346,1,AKPL,1,52,100,500.0,50000.0
347,1,AKPL,1,46,100,499.0,49900.0
348,1,UPCL,28,40,850,332.0,282200.0
349,1,UPCL,49,40,10,333.0,3330.0
350,1,UPCL,14,40,150,333.0,49950.0
351,1,UPCL,44,40,40,333.0,13320.0
352,1,MEGA,42,6,10,389.0,3890.0
353,1,MEGA,58,6,100,389.0,38900.0
354,1,MHNL,45,29,30,360.0,10800.0
355,1,GLH,17,43,10,402.0,4020.0
356,1,CHDC,17,10,10,733.0,7330.0
357,1,NIFRA,16,53,50,533.0,26650.0
358,1,UPCL,57,14,60,334.0,20040.0
359,1,GHL,59,8,30,334.0,10020.0
360,1,CHDC,17,41,10,733.0,7330.0
361,1,GMFIL,57,32,200,560.0,112000.0
362,1,GMFIL,35,32,157,560.0,87920.0
363,1,PRIN,19,50,110,1095.0,120450.0
364,1,UNHPL,55,46,194,382.0,74108.0
365,1,UNHPL,45,46,200,382.0,76400.0
366,1,CZBIL,44,28,11,402.0,4422.0
367,1,BBC,45,17,10,6401.0,64010.0
368,1,AKJCL,50,52,10,300.0,3000.0
369,1,DHPL,56,42,50,293.0,14650.0
370,1,RHPL,37,20,10,519.0,5190.0
371,1,RHPL,37,50,10,519.0,5190.0
372,1,RHPL,37,11,70,518.0,36260.0
373,1,RHPL,37,59,70,517.0,36190.0
374,1,RHPL,37,48,40,517.0,20680.0
375,1,JBBL,51,38,118,500.0,59000.0
376,1,JBBL,51,56,50,500.0,25000.0
377,1,JBBL,51,57,10,500.0,5000.0
378,1,JBBL,51,49,200,500.0,100000.0
379,1,JBBL,51,14,240,500.0,120000.0
380,1,JBBL,51,34,100,499.0,49900.0
381,1,JBBL,51,45,140,499.0,69860.0
382,1,JBBL,51,51,100,499.0,49900.0
383,1,JBBL,51,17,1042,499.0,519958.0
384,1,NEF,17,28,700,14.96,10472.0
385,1,AKPL,22,10,13,498.0,6474.0
386,1,CHCL,45,44,63,722.0,45486.0
387,1,CBL,6,20,1150,297.0,341550.0
388,1,LBL,13,36,170,430.0,73100.0
389,1,LBL,8,36,250,430.0,107500.0
390,1,LBL,38,36,30,430.0,12900.0
391,1,AKJCL,50,5,20,300.0,6000.0
392,1,GFCL,42,33,201,699.0,140499.0
393,1,KSBBL,29,42,10,600.0,6000.0
394,1,KSBBL,29,42,140,600.0,84000.0
395,1,KSBBL,29,40,350,600.0,210000.0
396,1,KSBBL,29,22,20,600.0,12000.0
397,1,KSBBL,29,19,100,600.0,60000.0
398,1,KSBBL,29,45,402,600.0,241200.0
399,1,KSBBL,29,13,100,600.0,60000.0
400,1,KSBBL,29,35,470,600.0,282000.0
401,1,ADBL,39,42,10,496.0,4960.0
402,1,JBBL,20,42,50,498.0,24900.0
403,1,JBBL,50,42,230,498.0,114540.0
404,1,JBBL,38,42,50,498.0,24900.0
405,1,NIFRA,16,45,50,533.0,26650.0
406,1,NIFRA,49,45,10,533.0,5330.0
407,1,SBI,10,32,500,437.0,218500.0
408,1,UPCL,35,14,100,334.0,33400.0
409,1,JBBL,59,17,30,499.0,14970.0
410,1,JLI,32,13,10,815.0,8150.0
411,1,MEN,1,39,10,944.0,9440.0
412,1,KSBBL,45,42,10,599.0,5990.0
413,1,NICL,57,43,100,1167.0,116700.0
414,1,RHPL,54,49,70,517.0,36190.0
415,1,RHPL,17,49,100,517.0,51700.0
416,1,AKJCL,50,39,20,300.0,6000.0
417,1,CIT,38,21,10,4210.0,42100.0
418,1,NRN,51,42,50,712.0,35600.0
419,1,NRN,51,34,10,712.0,7120.0
420,1,NRN,51,34,78,712.0,55536.0
421,1,SFCL,4,39,100,401.0,40100.0
422,1,SCB,59,45,30,610.0,18300.0
423,1,BBC,47,17,10,6401.0,64010.0
424,1,GUFL,57,57,10,1330.0,13300.0
425,1,GUFL,57,4,18,1330.0,23940.0
426,1,NRIC,1,46,50,1899.0,94950.0
427,1,HGI,21,19,70,878.0,61460.0
428,1,CCBL,42,41,21,295.0,6195.0
429,1,CCBL,21,41,100,295.0,29500.0
430,1,CCBL,13,41,100,295.0,29500.0
431,1,CCBL,57,41,129,295.0,38055.0
432,1,GBIME,59,25,100,457.0,45700.0
433,1,GBIME,35,25,43,457.0,19651.0
434,1,GBIME,34,25,100,457.0,45700.0
435,1,GBIME,26,25,1000,457.0,457000.0
436,1,GBIME,5,25,50,457.0,22850.0
437,1,GBIME,42,25,180,457.0,82260.0
438,1,GBIME,45,25,50,457.0,22850.0
439,1,GBIME,38,25,150,457.0,68550.0
440,1,GBIME,22,25,200,457.0,91400.0
441,1,GBIME,28,25,50,457.0,22850.0
442,1,GBIME,43,25,100,457.0,45700.0
443,1,GBIME,16,25,76,457.0,34732.0
444,1,PRIN,58,50,20,1095.0,21900.0
445,1,CBL,52,55,200,298.0,59600.0
446,1,SLBS,1,42,38,1704.0,64752.0
447,1,UMHL,28,55,50,408.0,20400.0
448,1,KSBBL,14,35,150,600.0,90000.0
449,1,MPFL,47,35,26,410.0,10660.0
450,1,UMHL,21,10,140,409.0,57260.0
451,1,UMHL,21,29,110,408.0,44880.0
452,1,NRIC,46,58,100,1899.0,189900.0
453,1,CCBL,46,16,100,297.0,29700.0
454,1,BPCL,4,48,21,532.0,11172.0
455,1,SHPC,28,26,200,553.0,110600.0
456,1,GLBSL,42,6,10,1895.0,18950.0
457,1,KSBBL,45,49,285,599.0,170715.0
458,1,HDL,45,50,10,5665.0,56650.0
459,1,CCBL,57,59,50,295.0,14750.0
460,1,PICL,58,45,66,950.0,62700.0
461,1,AKJCL,58,45,350,302.0,105700.0
462,1,LBBL,5,57,131,656.0,85936.0
463,1,LBBL,5,57,500,657.0,328500.0
464,1,SANIMA,52,8,50,500.0,25000.0
465,1,GBBL,32,38,200,551.0,110200.0
466,1,GBIME,45,55,527,458.0,241366.0
467,1,GBIME,45,42,473,458.0,216634.0
468,1,CHCL,45,53,21,720.0,15120.0
469,1,API,6,26,127,451.0,57277.0
470,1,API,6,48,100,451.0,45100.0
471,1,API,6,45,60,451.0,27060.0
472,1,SANIMA,57,8,25,500.0,12500.0
473,1,UNHPL,44,40,200,383.0,76600.0
474,1,HPPL,52,17,10,487.0,4870.0
475,1,NIFRA,49,45,30,533.0,15990.0
476,1,ADBL,33,10,100,495.0,49500.0
477,1,SPDL,22,58,50,451.0,22550.0
478,1,SPDL,38,58,207,451.0,93357.0
479,1,SBCF,6,17,500,10.2,5100.0
480,1,SHPC,57,26,50,553.0,27650.0
481,1,RHPC,6,7,50,618.0,30900.0
482,1,LEC,41,25,20,397.0,7940.0
483,1,LEC,11,25,50,397.0,19850.0
484,1,LEC,21,25,300,397.0,119100.0
485,1,LEC,48,25,300,397.0,119100.0
486,1,LEC,32,25,20,397.0,7940.0
487,1,LEC,17,25,100,397.0,39700.0
488,1,LEC,54,25,210,397.0,83370.0
489,1,SPDL,38,54,50,451.0,22550.0
490,1,CHDC,17,43,10,733.0,7330.0
491,1,NICL,57,38,90,1167.0,105030.0
492,1,SRBL,49,3,1000,392.0,392000.0
493,1,AHPC,39,26,50,531.0,26550.0
494,1,AHPC,39,51,20,531.0,10620.0
495,1,AHPC,39,58,379,531.0,201249.0
496,1,HDL,46,46,25,5670.0,141750.0
497,1,KPCL,58,42,10,481.0,4810.0
498,1,HDHPC,49,44,50,305.0,15250.0
499,1,OHL,47,39,150,610.0,91500.0
500,2,JBBL,11,17,200,499.0,99800.0
501,2,KKHC,42,4,10,306.0,3060.0
502,2,CBBL,45,38,15,1775.0,26625.0
503,2,CBBL,45,33,10,1775.0,17750.0
504,2,CBBL,45,6,12,1775.0,21300.0
505,2,CBBL,45,4,42,1775.0,74550.0
506,2,UMHL,36,29,90,408.0,36720.0
507,2,UMHL,36,29,110,408.0,44880.0
508,2,NICL,58,38,10,1167.0,11670.0
509,2,MEGA,6,38,28,390.0,10920.0
510,2,MEGA,6,14,20,390.0,7800.0
511,2,MEGA,6,38,19,390.0,7410.0
512,2,MEGA,6,47,68,390.0,26520.0
513,2,NIFRA,49,21,50,533.0,26650.0
514,2,NLIC,52,25,300,2087.0,626100.0
515,2,NLIC,52,37,562,2087.0,1172894.0
516,2,PRVU,41,45,167,476.0,79492.0
517,2,PRVU,41,22,33,476.0,15708.0
518,2,NCCB,35,35,94,383.0,36002.0
519,2,NIFRA,49,52,10,533.0,5330.0
520,2,GRDBL,33,58,200,373.0,74600.0
521,2,AKPL,22,38,13,498.0,6474.0
522,2,KKHC,42,45,10,306.0,3060.0
523,2,DHPL,47,59,53,294.0,15582.0
524,2,DHPL,47,21,11,294.0,3234.0
525,2,DHPL,47,53,36,294.0,10584.0
526,2,LEMF,14,58,100,13.3,1330.0
527,2,GFCL,34,33,185,700.0,129500.0
528,2,MNBBL,58,44,50,690.0,34500.0
529,2,GILB,59,48,32,2800.0,89600.0
530,2,HDHPC,16,59,200,306.0,61200.0
531,2,BFC,45,57,45,438.0,19710.0
532,2,SFCL,52,54,33,400.0,13200.0
533,2,SFCL,16,54,17,400.0,6800.0
534,2,RLFL,16,57,100,539.0,53900.0
535,2,RLFL,16,8,1680,539.0,905520.0
536,2,RLFL,16,35,764,538.0,411032.0
537,2,RLFL,16,49,183,536.0,98088.0
538,2,RLFL,16,45,10,536.0,5360.0
539,2,RLFL,16,51,20,536.0,10720.0
540,2,RLFL,16,39,200,536.0,107200.0
541,2,SFCL,52,39,125,401.0,50125.0
542,2,SFCL,52,29,275,401.0,110275.0
543,2,AHPC,46,58,21,531.0,11151.0
544,2,PICL,44,28,95,945.0,89775.0
545,2,PICL,4,28,100,947.0,94700.0
546,2,PICL,44,28,25,947.0,23675.0
547,2,PICL,54,28,50,948.0,47400.0
548,2,PICL,4,28,115,948.0,109020.0
549,2,GBBL,48,38,50,551.0,27550.0
550,2,NHPC,42,45,2468,302.0,745336.0
551,2,NHPC,6,45,300,302.0,90600.0
552,2,NHPC,1,45,50,303.0,15150.0
553,2,NHPC,35,45,200,303.0,60600.0
554,2,NHPC,58,45,40,303.0,12120.0
555,2,NHPC,41,45,100,303.0,30300.0
556,2,NHPC,50,45,200,303.0,60600.0
557,2,NHPC,13,45,200,303.0,60600.0
558,2,NHPC,1,45,1680,303.0,509040.0
559,2,NHPC,58,45,250,304.0,76000.0
560,2,NHPC,38,45,270,304.0,82080.0
561,2,NHPC,22,45,10000,304.0,3040000.0
562,2,NHPC,57,45,242,304.0,73568.0
563,2,NHPC,57,35,58,304.0,17632.0
564,2,NHPC,20,35,100,304.0,30400.0
565,2,NHPC,10,35,100,304.0,30400.0
566,2,NHPC,58,35,100,304.0,30400.0
567,2,NHPC,13,35,250,304.0,76000.0
568,2,NRIC,6,42,40,1895.0,75800.0
569,2,API,46,45,40,451.0,18040.0
570,2,API,46,13,60,451.0,27060.0
571,2,RHPL,17,11,10,517.0,5170.0
572,2,UNHPL,38,40,90,385.0,34650.0
573,2,UNHPL,39,40,100,385.0,38500.0
574,2,UNHPL,58,40,245,385.0,94325.0
575,2,GMFIL,26,35,50,561.0,28050.0
576,2,LBBL,5,43,500,657.0,328500.0
577,2,SHIVM,45,36,100,1579.0,157900.0
